method,model,n_poses,source_a,source_b,n_targets,delta_pcc_a_minus_b,delta_pcc_ci_low,delta_pcc_ci_high,delta_pcc_p_two_sided,n_boot_pcc,delta_rmse_a_minus_b,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_p_two_sided,n_boot_rmse
mean,dynaformer,1,gnina-crystal,gnina-apo,282,0.1432844546468871,0.06410934413370277,0.2273047453899403,0.0003,20000,-0.40608739079113854,-0.5777037216974467,-0.23136533410854265,0.0,20000
mean,dynaformer,1,gnina-crystal,gnina-af3,283,0.2601163689342988,0.1634137944678351,0.3629434767557945,0.0,20000,-0.696750160234815,-0.8855211333367786,-0.5081521210309755,0.0,20000
mean,dynaformer,1,gnina-crystal,alphafold3,283,0.06220221490240968,-0.00173352070320468,0.12857783519491603,0.0564,20000,-0.13548389456877896,-0.27460506632461423,-0.0006586813678974555,0.0489,20000
mean,dynaformer,1,gnina-apo,gnina-af3,284,0.11470501696214097,0.015149472529506967,0.21550005297101293,0.0244,20000,-0.2925417240707149,-0.44988742239444995,-0.13657668465182532,0.0,20000
mean,dynaformer,1,gnina-apo,alphafold3,284,-0.08839715838293838,-0.1749644658766158,-0.0072690793094972546,0.032,20000,0.27649255765818026,0.1154472597397076,0.43998961273398346,0.0004,20000
mean,dynaformer,1,gnina-af3,alphafold3,285,-0.19631578072833963,-0.2952860522899388,-0.10221573867246234,0.0001,20000,0.5580384220224552,0.3924599459361292,0.7258066084260593,0.0,20000
mean,dynaformer,2,gnina-crystal,gnina-apo,283,0.11545782390477216,0.04858663337331666,0.18614526066697623,0.0008,20000,-0.3462370842843606,-0.496099286662685,-0.19871026453914722,0.0,20000
mean,dynaformer,2,gnina-crystal,gnina-af3,283,0.22006167228146645,0.13007499300167807,0.31611013717605324,0.0001,20000,-0.6505290694584744,-0.8257413874513191,-0.47514161842506675,0.0,20000
mean,dynaformer,2,gnina-crystal,alphafold3,283,0.06808816455882949,0.0010974430042998446,0.13599230157920547,0.0452,20000,-0.14190201102290967,-0.28025862438509147,-0.004335825838287544,0.0419,20000
mean,dynaformer,2,gnina-apo,gnina-af3,285,0.10560636926667535,0.0137883277913508,0.1993806750163097,0.0232,20000,-0.30409890198511036,-0.44273649748018507,-0.16664912654483988,0.0,20000
mean,dynaformer,2,gnina-apo,alphafold3,285,-0.04844985896080539,-0.12794513619130904,0.028553281338633513,0.223,20000,0.20411756397183245,0.054087159431582925,0.3550481057462441,0.0071,20000
mean,dynaformer,2,gnina-af3,alphafold3,285,-0.15327772718366417,-0.2507399950254414,-0.0625112506599265,0.0005,20000,0.5075148569083514,0.3449472281405809,0.6735975846283361,0.0,20000
mean,dynaformer,3,gnina-crystal,gnina-apo,283,0.1214254523928553,0.05576035604959832,0.19166116700905242,0.0005,20000,-0.3659976006455279,-0.5108473628548938,-0.22258555791114698,0.0,20000
mean,dynaformer,3,gnina-crystal,gnina-af3,283,0.23733112230372108,0.15133498147777366,0.3293438754614338,0.0,20000,-0.6775484332445876,-0.8434166421576602,-0.5131517989570151,0.0,20000
mean,dynaformer,3,gnina-crystal,alphafold3,283,0.06784016579478674,0.00581510021169408,0.13185448306901026,0.032,20000,-0.1365277963114172,-0.26523923605151833,-0.010469612537482102,0.0346,20000
mean,dynaformer,3,gnina-apo,gnina-af3,285,0.11668157883387384,0.03137423622231417,0.2045995599097615,0.0062,20000,-0.31289153114892054,-0.4425657057668738,-0.18118982433516473,0.0,20000
mean,dynaformer,3,gnina-apo,alphafold3,285,-0.05338770152436584,-0.13091590750291515,0.022348345259636807,0.1705,20000,0.2263840976362822,0.0779212836458763,0.3782944262143694,0.0029,20000
mean,dynaformer,3,gnina-af3,alphafold3,285,-0.16946028313006997,-0.2628169224799908,-0.0819255408743043,0.0001,20000,0.5390421772704577,0.38022936249812744,0.7021989737422536,0.0,20000
mean,dynaformer,5,gnina-crystal,gnina-apo,283,0.12621590319358789,0.06458258458651929,0.1921564524682067,0.0,20000,-0.3785041181410297,-0.5106674172740927,-0.2477017246235698,0.0,20000
mean,dynaformer,5,gnina-crystal,gnina-af3,283,0.21967360872087832,0.1369823198074936,0.3087229294074987,0.0001,20000,-0.6615264217674357,-0.824303685765034,-0.4986355125938646,0.0,20000
mean,dynaformer,5,gnina-crystal,alphafold3,283,0.056729109266810185,-0.0046187946575212465,0.11992209862453361,0.0702,20000,-0.10872628160770637,-0.23504212213096434,0.013690102379948227,0.0847,20000
mean,dynaformer,5,gnina-apo,gnina-af3,285,0.09575935048835155,0.01427182130185225,0.17835695666010523,0.0192,20000,-0.28484140111942735,-0.40640658798288454,-0.16025042284132723,0.0,20000
mean,dynaformer,5,gnina-apo,alphafold3,285,-0.06999328566995394,-0.14881555363225366,0.00684341510828837,0.0748,20000,0.2677594131900527,0.12153989743031014,0.41839477637595607,0.0002,20000
mean,dynaformer,5,gnina-af3,alphafold3,285,-0.16521741712321106,-0.2578731072325425,-0.07943405012538697,0.0001,20000,0.5523771711029509,0.39285908991763213,0.7177662404923202,0.0,20000
mean,dynaformer,10,gnina-crystal,gnina-apo,283,0.10162120850204082,0.038774275052117335,0.16757425516266566,0.0017,20000,-0.3338708653794744,-0.4587383910769846,-0.20906472201053428,0.0,20000
mean,dynaformer,10,gnina-crystal,gnina-af3,283,0.20610777048980955,0.1239562697257684,0.2934519261584656,0.0001,20000,-0.6180280817931801,-0.7670017760441179,-0.4691228569496965,0.0,20000
mean,dynaformer,10,gnina-crystal,alphafold3,283,0.027291954142752817,-0.0345081861239604,0.0898331725509784,0.3899,20000,-0.04342425727042354,-0.1655465693058884,0.07599315823409836,0.4747,20000
mean,dynaformer,10,gnina-apo,gnina-af3,285,0.10773517095071061,0.023172610608225206,0.1927014322076762,0.0125,20000,-0.287553576767577,-0.40747089334587866,-0.16479638926916726,0.0,20000
mean,dynaformer,10,gnina-apo,alphafold3,285,-0.07337618028313081,-0.15572476196274349,0.0067168784742790725,0.0756,20000,0.286708482021912,0.13677039684786577,0.4405577355337117,0.0,20000
mean,dynaformer,10,gnina-af3,alphafold3,285,-0.18084945434293015,-0.2746463041122693,-0.09333522059152813,0.0001,20000,0.5739417928327267,0.41667643864666126,0.7347456441058944,0.0,20000
mean,dynaformer,20,gnina-crystal,gnina-apo,283,0.07592954879560349,0.014739983077641888,0.14020984655965363,0.0144,20000,-0.28249760124499934,-0.3982110398627688,-0.17018401264574037,0.0,20000
mean,dynaformer,20,gnina-crystal,gnina-af3,283,0.19144884247080002,0.10963647049930493,0.2796419819883486,0.0001,20000,-0.5758712420489658,-0.7171713558785738,-0.4323002975282918,0.0,20000
mean,dynaformer,20,gnina-crystal,alphafold3,283,0.005603279589258381,-0.060623098486547934,0.07125529658322788,0.8669,20000,0.011004372299035947,-0.1139839070082454,0.136704850811654,0.8625,20000
mean,dynaformer,20,gnina-apo,gnina-af3,285,0.12000808468512197,0.03378243996213814,0.20671942531716703,0.0067,20000,-0.2959114202400749,-0.41547527689915936,-0.1768143647309562,0.0,20000
mean,dynaformer,20,gnina-apo,alphafold3,285,-0.07019879951259156,-0.15100046439826645,0.009077798241588074,0.0816,20000,0.29218039569555543,0.1441629250748536,0.4417772743455504,0.0,20000
mean,dynaformer,20,gnina-af3,alphafold3,285,-0.18948298151164272,-0.2867627172063445,-0.09962939796547002,0.0,20000,0.5884714051481397,0.429311079473643,0.7507034066511253,0.0,20000
mean,dynaformer,30,gnina-crystal,gnina-apo,283,0.05555943803298963,-0.005295394298976055,0.11943291310763,0.0733,20000,-0.2410564882161763,-0.3531980428116554,-0.13282963312765342,0.0,20000
mean,dynaformer,30,gnina-crystal,gnina-af3,283,0.17788680569106213,0.09572598469621851,0.26498468508645656,0.0001,20000,-0.5450547363457686,-0.6846737246053338,-0.40410100177287545,0.0,20000
mean,dynaformer,30,gnina-crystal,alphafold3,283,-0.015526079805170734,-0.08334973157290672,0.0507051011617712,0.6486,20000,0.05989589835456466,-0.06461017358447818,0.18481772483816616,0.3502,20000
mean,dynaformer,30,gnina-apo,gnina-af3,285,0.12505743210351106,0.03876262929603708,0.2126490122195334,0.005,20000,-0.3056928678306261,-0.4256497330793992,-0.18446134877453144,0.0,20000
mean,dynaformer,30,gnina-apo,alphafold3,285,-0.0721551885106243,-0.1522261977639756,0.0065990048077831315,0.0721,20000,0.30060426405374163,0.1552709016674577,0.44880341258866563,0.0,20000
mean,dynaformer,30,gnina-af3,alphafold3,285,-0.19685753296117894,-0.2927753522925413,-0.10779956432479317,0.0,20000,0.6066632057599912,0.44698387983744253,0.7674767717234108,0.0,20000
mean,dynaformer,50,gnina-crystal,gnina-apo,283,0.041949368214638016,-0.020388138595658026,0.10691148566728784,0.1935,20000,-0.21104784557265233,-0.32049753760817246,-0.10489738546418959,0.0,20000
mean,dynaformer,50,gnina-crystal,gnina-af3,283,0.16298959708423544,0.0802595651867083,0.24935128694968797,0.0001,20000,-0.5108423274186823,-0.6468988268948033,-0.37387817019765124,0.0,20000
mean,dynaformer,50,gnina-crystal,alphafold3,283,-0.03015172940775185,-0.09993848195270148,0.03784273401116161,0.3888,20000,0.09476681628442374,-0.03147669494020276,0.22103848929749162,0.145,20000
mean,dynaformer,50,gnina-apo,gnina-af3,285,0.12243473961680484,0.0356569358794846,0.2111731961727536,0.0061,20000,-0.3003920458319749,-0.4194570827874476,-0.18035026527692324,0.0,20000
mean,dynaformer,50,gnina-apo,alphafold3,285,-0.07415164646209599,-0.1547047717773256,0.005131739463397348,0.0674,20000,0.30707532436286955,0.16226308842286855,0.45498958812946155,0.0,20000
mean,dynaformer,50,gnina-af3,alphafold3,285,-0.19623969955289516,-0.29131526028544014,-0.10780492812261852,0.0,20000,0.6081760561550156,0.44969824524702134,0.7679972522392957,0.0,20000
mean,dynaformer,100,gnina-crystal,gnina-apo,283,0.018219159333229318,-0.04657181069508751,0.08465704366025534,0.5766,20000,-0.16470417017976235,-0.27113682124346217,-0.0592107337485915,0.0021,20000
mean,dynaformer,100,gnina-crystal,gnina-af3,283,0.1377860885667633,0.05401870885728158,0.22440473252868684,0.0019,20000,-0.4547560459606057,-0.5874345549108076,-0.32173361627351427,0.0,20000
mean,dynaformer,100,gnina-crystal,alphafold3,283,-0.05860864777489533,-0.13111853634985712,0.012106050095279323,0.1028,20000,0.15697614708437824,0.030897517348713505,0.28377895463463376,0.0143,20000
mean,dynaformer,100,gnina-apo,gnina-af3,285,0.11966733203459262,0.0326419367592536,0.20812049263622245,0.0069,20000,-0.2903403633253112,-0.4085834274875915,-0.17239247113146802,0.0,20000
mean,dynaformer,100,gnina-apo,alphafold3,285,-0.08010381318229215,-0.16102694833220071,0.0006394787762474097,0.0522,20000,0.32405528696980435,0.1786571562954946,0.47182930726292793,0.0,20000
mean,dynaformer,100,gnina-af3,alphafold3,285,-0.19943268605057557,-0.2926329495688162,-0.11254492361098963,0.0,20000,0.6143819201226264,0.45794101058360787,0.7727244286315097,0.0,20000
mean,egna,1,gnina-crystal,gnina-apo,282,0.1399657209259993,0.08469304147608359,0.20044619441673991,0.0,20000,-0.36191259899330264,-0.48295691558817533,-0.2462789421365513,0.0,20000
mean,egna,1,gnina-crystal,gnina-af3,283,0.22983395247532257,0.16794454583658822,0.29675906130288454,0.0,20000,-0.6185473326230376,-0.7371180883703758,-0.49880686081769476,0.0,20000
mean,egna,1,gnina-crystal,alphafold3,283,0.09645956580360016,0.04271918200370421,0.15966630641373844,0.0002,20000,-0.23553896729342882,-0.35391569148566604,-0.1217933329455535,0.0,20000
mean,egna,1,gnina-apo,gnina-af3,284,0.08268467393020118,0.01851013598264751,0.14831154353164697,0.0117,20000,-0.24853463450091395,-0.3573495684916398,-0.1392993326104551,0.0,20000
mean,egna,1,gnina-apo,alphafold3,284,-0.039583952895281216,-0.10915689803896624,0.02632829262597207,0.2397,20000,0.11891357482340736,-0.009143919636933855,0.25679300195269233,0.0708,20000
mean,egna,1,gnina-af3,alphafold3,285,-0.12638896023872787,-0.19290244479844795,-0.0643943209443521,0.0001,20000,0.37082119432222127,0.25533226666370495,0.4932108048184085,0.0,20000
mean,egna,2,gnina-crystal,gnina-apo,283,0.12751632085271863,0.07276045613483695,0.1895624125238262,0.0,20000,-0.336891279619454,-0.4543418562136666,-0.2234008601639081,0.0,20000
mean,egna,2,gnina-crystal,gnina-af3,283,0.1956912724635414,0.13594879830820755,0.26078753115543424,0.0,20000,-0.5673587698548446,-0.6811327489535474,-0.45333794458019616,0.0,20000
mean,egna,2,gnina-crystal,alphafold3,283,0.08806517697107841,0.03202878255182759,0.1524720696388104,0.0021,20000,-0.2067569254022361,-0.3289377727981755,-0.08997495869023082,0.0005,20000
mean,egna,2,gnina-apo,gnina-af3,285,0.06443137075258004,0.007624460704861555,0.12402250811958017,0.0241,20000,-0.22384199407075756,-0.3182331503992666,-0.12980821521655803,0.0,20000
mean,egna,2,gnina-apo,alphafold3,285,-0.03720449624461303,-0.10683561384541813,0.029280554361504188,0.2743,20000,0.12463225575416803,-0.001998933401961675,0.2580629037663466,0.0546,20000
mean,egna,2,gnina-af3,alphafold3,285,-0.10145664168468643,-0.16212339041844098,-0.04581720293224956,0.0004,20000,0.3487162407948394,0.24348164109283987,0.4616445554446073,0.0,20000
mean,egna,3,gnina-crystal,gnina-apo,283,0.12395188912871336,0.06993789172906267,0.18480714920500238,0.0,20000,-0.33687596481741766,-0.45319972775097456,-0.2250360449097814,0.0,20000
mean,egna,3,gnina-crystal,gnina-af3,283,0.1976276489757562,0.14029026354393725,0.26025114545469114,0.0,20000,-0.5712116665376248,-0.6813485523875471,-0.4598897298520313,0.0,20000
mean,egna,3,gnina-crystal,alphafold3,283,0.08813844032336787,0.031713711473384636,0.15337457810475183,0.0016,20000,-0.20484104730954633,-0.32688132013923976,-0.08782867384033227,0.0006,20000
mean,egna,3,gnina-apo,gnina-af3,285,0.06977304411610041,0.015331719032843147,0.12769877015752437,0.0095,20000,-0.2270071605817846,-0.3161244041700577,-0.13865223828889128,0.0,20000
mean,egna,3,gnina-apo,alphafold3,285,-0.03373566787369692,-0.10397815759975092,0.03288751128713512,0.3242,20000,0.1268971213451625,-0.0011321802779917566,0.260790174979291,0.0516,20000
mean,egna,3,gnina-af3,alphafold3,285,-0.10374981073861211,-0.16550951598049168,-0.04678400359205182,0.0004,20000,0.35413312653192175,0.24548150780464914,0.4701721564298342,0.0,20000
mean,egna,5,gnina-crystal,gnina-apo,283,0.11988406504279914,0.06946768912067298,0.17634403722373623,0.0,20000,-0.3323131786522472,-0.43850208962497256,-0.2323299948418329,0.0,20000
mean,egna,5,gnina-crystal,gnina-af3,283,0.18545606402898235,0.1290128568752088,0.2466217659027273,0.0,20000,-0.5528700931674428,-0.6597105787334715,-0.444338916639841,0.0,20000
mean,egna,5,gnina-crystal,alphafold3,283,0.07931296255939196,0.022907187566712728,0.1432117454384459,0.0045,20000,-0.17935653577920252,-0.29968636274004423,-0.06273160701742908,0.0019,20000
mean,egna,5,gnina-apo,gnina-af3,285,0.062239907705787356,0.010000826479865202,0.1179751646887178,0.019,20000,-0.21458975537665181,-0.2982508090702531,-0.13270910940514727,0.0,20000
mean,egna,5,gnina-apo,alphafold3,285,-0.03831216881074884,-0.10737085081595692,0.02888909399984454,0.2702,20000,0.14708291750941493,0.018463318832481368,0.2801587523641911,0.0252,20000
mean,egna,5,gnina-af3,alphafold3,285,-0.10038187548600808,-0.1626955357777138,-0.04207267800428499,0.0006,20000,0.3616152787421085,0.2500260055095232,0.4801373416598101,0.0,20000
mean,egna,10,gnina-crystal,gnina-apo,283,0.08924383893456495,0.04171217561096839,0.14135292552215656,0.0,20000,-0.26779009045485636,-0.36719256124983946,-0.17213487964775478,0.0,20000
mean,egna,10,gnina-crystal,gnina-af3,283,0.1654258916704539,0.10699237273224395,0.22798789280833034,0.0,20000,-0.4995923466539386,-0.6131383125971492,-0.3882240369999358,0.0,20000
mean,egna,10,gnina-crystal,alphafold3,283,0.05532842832590962,-0.0038047417838095645,0.11937664105980819,0.0658,20000,-0.10656922422628334,-0.22837725690966282,0.014998837190290087,0.0849,20000
mean,egna,10,gnina-apo,gnina-af3,285,0.0731151167127515,0.018143203474398864,0.1315089505920609,0.0071,20000,-0.2265762495127731,-0.31325055055951845,-0.13924833216524551,0.0,20000
mean,egna,10,gnina-apo,alphafold3,285,-0.031700000267284256,-0.09970063995140634,0.035513648849882076,0.3591,20000,0.15545393136525143,0.025115299930538716,0.2888604601184961,0.0185,20000
mean,egna,10,gnina-af3,alphafold3,285,-0.10453897708977056,-0.1705557389822534,-0.04345297413682666,0.0007,20000,0.38162320133655403,0.2637469975470768,0.5066419067004366,0.0,20000
mean,egna,20,gnina-crystal,gnina-apo,283,0.08033318862998157,0.035293965945983004,0.1289046444396205,0.0001,20000,-0.23553636616492946,-0.3295612366934159,-0.1434606840313048,0.0,20000
mean,egna,20,gnina-crystal,gnina-af3,283,0.1648638046302039,0.10672383949825753,0.22758338862331484,0.0,20000,-0.47454341431795277,-0.5859616058584562,-0.36575784560892993,0.0,20000
mean,egna,20,gnina-crystal,alphafold3,283,0.05437282471954474,-0.005667136450509483,0.1199807401381268,0.077,20000,-0.07401238114572473,-0.19659090473834093,0.04858573789969366,0.2443,20000
mean,egna,20,gnina-apo,gnina-af3,285,0.0813382742038577,0.026599163219974964,0.1399925308406245,0.0027,20000,-0.2336729496220169,-0.31937324715607834,-0.1485650512519417,0.0,20000
mean,egna,20,gnina-apo,alphafold3,285,-0.024114931393789174,-0.09108177564404103,0.04376868439485218,0.4857,20000,0.1564542977902872,0.02610621667672137,0.2887226520725857,0.0184,20000
mean,egna,20,gnina-af3,alphafold3,285,-0.10535164963017873,-0.17226776619412876,-0.04241899739538454,0.0008,20000,0.3897617027379392,0.2701891341323227,0.5170370622275064,0.0,20000
mean,egna,30,gnina-crystal,gnina-apo,283,0.06596659148440182,0.023447373546449907,0.11093518486355197,0.0022,20000,-0.19989404935946253,-0.2885480708774695,-0.11274155267578545,0.0,20000
mean,egna,30,gnina-crystal,gnina-af3,283,0.15962728016355865,0.10219670310097362,0.2226157737488074,0.0,20000,-0.45567100432563046,-0.5672486690932151,-0.3479550875681678,0.0,20000
mean,egna,30,gnina-crystal,alphafold3,283,0.05244994333358105,-0.008333685811322988,0.11861195586155242,0.0896,20000,-0.05591055189284977,-0.17937334577674166,0.06862675129758693,0.3847,20000
mean,egna,30,gnina-apo,gnina-af3,285,0.09065418944105391,0.035757659067909814,0.15014802462841514,0.0009,20000,-0.25058762187623285,-0.33617593575092974,-0.16527652218957303,0.0,20000
mean,egna,30,gnina-apo,alphafold3,285,-0.011625094400920966,-0.07942989891871502,0.058064543867303184,0.7479,20000,0.13875155459018174,0.007247832060222868,0.27293311661116776,0.038,20000
mean,egna,30,gnina-af3,alphafold3,285,-0.10166516384665808,-0.16963956547414516,-0.0386577536360293,0.0012,20000,0.38888426891716876,0.2685666692772026,0.5175508395648826,0.0,20000
mean,egna,50,gnina-crystal,gnina-apo,283,0.06210274790409143,0.01673839504454191,0.10967565587181809,0.0076,20000,-0.182439708306821,-0.2764561319502642,-0.09060687709315793,0.0,20000
mean,egna,50,gnina-crystal,gnina-af3,283,0.15756105696513928,0.09918154549603041,0.2221096011144748,0.0,20000,-0.43970886369159823,-0.5525367268846636,-0.33200463837336275,0.0,20000
mean,egna,50,gnina-crystal,alphafold3,283,0.05348207978966696,-0.008918023133443583,0.12067551466307314,0.0918,20000,-0.0403278006706006,-0.16511603792402976,0.08651386518648949,0.5377,20000
mean,egna,50,gnina-apo,gnina-af3,285,0.09290887014711008,0.03703231665331708,0.1539001820216556,0.0012,20000,-0.25233784373689694,-0.3392956600781173,-0.16568471361896792,0.0,20000
mean,egna,50,gnina-apo,alphafold3,285,-0.006354549234496798,-0.07370875177604473,0.06243282181696446,0.8554,20000,0.13727837449252733,0.006682126787424175,0.2695948859296314,0.0377,20000
mean,egna,50,gnina-af3,alphafold3,285,-0.09859003672696104,-0.16743183150825172,-0.03491665959564782,0.002,20000,0.3888427643947979,0.26703920067062237,0.5193782892233354,0.0,20000
mean,egna,100,gnina-crystal,gnina-apo,283,0.05299099970052368,0.004324062282080449,0.10317990515777592,0.0322,20000,-0.15557533771998844,-0.253124962904724,-0.05975404779552467,0.0008,20000
mean,egna,100,gnina-crystal,gnina-af3,283,0.14263430620226003,0.08439123432532068,0.20629986495095787,0.0,20000,-0.40775353653317326,-0.5199910998124955,-0.2997072531122668,0.0,20000
mean,egna,100,gnina-crystal,alphafold3,283,0.045729780685877575,-0.018470809724795662,0.11465569910842541,0.1658,20000,-0.014443425551150302,-0.14222338281766972,0.11311643206306587,0.8234,20000
mean,egna,100,gnina-apo,gnina-af3,285,0.08708704206579981,0.031431953029483005,0.14693033055270896,0.0019,20000,-0.24725247708371167,-0.33344465009897106,-0.16101043020312794,0.0,20000
mean,egna,100,gnina-apo,alphafold3,285,-0.0045490117473059866,-0.07255453563485283,0.06435701936114277,0.8948,20000,0.1357161965094974,0.004993244551126141,0.26839683980150625,0.0403,20000
mean,egna,100,gnina-af3,alphafold3,285,-0.09122283053522512,-0.15787990926280743,-0.030134931169397507,0.0032,20000,0.38246890979400594,0.26348193488618865,0.5104303051905152,0.0,20000
mean,ehign_pla,1,gnina-crystal,gnina-apo,280,0.27349173183596803,0.19713047427452252,0.35597642693500864,0.0,20000,-0.7675049191927064,-0.9415104374765721,-0.5912679711162449,0.0,20000
mean,ehign_pla,1,gnina-crystal,gnina-af3,282,0.29074955091212346,0.21140329963260973,0.37750298488695044,0.0,20000,-1.0054605350941914,-1.196253016370803,-0.8110741609709547,0.0,20000
mean,ehign_pla,1,gnina-crystal,alphafold3,269,0.10109281755735683,0.04794248163209011,0.16448055652052085,0.0001,20000,-0.32329362218848157,-0.4813500078031245,-0.17729198537161506,0.0,20000
mean,ehign_pla,1,gnina-apo,gnina-af3,282,0.014898758198725937,-0.06957678064981068,0.09767542439384197,0.7207,20000,-0.2185132856745402,-0.37656418272430203,-0.05696493707217076,0.0089,20000
mean,ehign_pla,1,gnina-apo,alphafold3,268,-0.17438595373085414,-0.26619597994655014,-0.0872074136790863,0.0003,20000,0.4626041667004226,0.2707790430355756,0.6535917103712934,0.0,20000
mean,ehign_pla,1,gnina-af3,alphafold3,270,-0.19338274112204368,-0.28731959802633167,-0.10486520286198046,0.0,20000,0.6733147213109419,0.4776679122899336,0.8691023751241936,0.0,20000
mean,ehign_pla,2,gnina-crystal,gnina-apo,281,0.24832468810267266,0.18140484340155838,0.322328091853458,0.0,20000,-0.7462271932521792,-0.9089788547311405,-0.5899755964686684,0.0,20000
mean,ehign_pla,2,gnina-crystal,gnina-af3,282,0.2672524369558908,0.19526392662499892,0.34508107354799744,0.0,20000,-0.9893742301656167,-1.1681587423204305,-0.810619506427975,0.0,20000
mean,ehign_pla,2,gnina-crystal,alphafold3,269,0.09505327778912348,0.04139172728093546,0.1589783559238522,0.0002,20000,-0.290969727018789,-0.44751667522222666,-0.14595669447445345,0.0,20000
mean,ehign_pla,2,gnina-apo,gnina-af3,283,0.011304094349693206,-0.0548941937031594,0.07928403523820604,0.7403,20000,-0.21482196546230048,-0.3436999257802951,-0.088789612119626,0.0003,20000
mean,ehign_pla,2,gnina-apo,alphafold3,269,-0.15856070111323528,-0.24420852168889837,-0.07689304346871624,0.0001,20000,0.4692064427156296,0.28696755384944056,0.6564098479583507,0.0,20000
mean,ehign_pla,2,gnina-af3,alphafold3,270,-0.1748379819935079,-0.2617494968408771,-0.0918387918118331,0.0,20000,0.687411343052022,0.5066946106680331,0.8704339174212199,0.0,20000
mean,ehign_pla,3,gnina-crystal,gnina-apo,281,0.23121738476391418,0.1668267782125347,0.3039844285007125,0.0,20000,-0.7208218946608467,-0.8796550380720638,-0.5702664994862288,0.0,20000
mean,ehign_pla,3,gnina-crystal,gnina-af3,282,0.26398069205690616,0.19457372878431786,0.339157049422802,0.0,20000,-0.9751675040218526,-1.146274201702917,-0.8012704399054292,0.0,20000
mean,ehign_pla,3,gnina-crystal,alphafold3,269,0.09474753347067638,0.03947755172456703,0.15943170775189358,0.0002,20000,-0.27360312745259974,-0.4317108631759032,-0.12674074319936834,0.0002,20000
mean,ehign_pla,3,gnina-apo,gnina-af3,283,0.026425581332642112,-0.03488684052729362,0.08775894607781257,0.3908,20000,-0.22751601981310055,-0.3464600245004687,-0.11031567307892451,0.0001,20000
mean,ehign_pla,3,gnina-apo,alphafold3,269,-0.14122106354608127,-0.22476936498474268,-0.05975754001882929,0.0006,20000,0.4567598249375534,0.2760114959342959,0.6416252062659831,0.0,20000
mean,ehign_pla,3,gnina-af3,alphafold3,270,-0.17056584999023788,-0.2548936947672368,-0.08928543770161365,0.0,20000,0.687561582485802,0.5094789483107853,0.8663590947304926,0.0,20000
mean,ehign_pla,5,gnina-crystal,gnina-apo,281,0.22560762441866944,0.16731372011421203,0.2909813260466946,0.0,20000,-0.696413469314859,-0.831589891426871,-0.5655032893622998,0.0,20000
mean,ehign_pla,5,gnina-crystal,gnina-af3,282,0.25351610324635193,0.18689411423849925,0.3250501206009061,0.0,20000,-0.9283951157666577,-1.0832700225834082,-0.7709774283660676,0.0,20000
mean,ehign_pla,5,gnina-crystal,alphafold3,269,0.0910248940106076,0.03764587881764119,0.15010486241083387,0.0005,20000,-0.22063396432216076,-0.3579220806314205,-0.0855297253491963,0.0015,20000
mean,ehign_pla,5,gnina-apo,gnina-af3,283,0.023199663571062068,-0.03446448424006148,0.08048203438124302,0.4277,20000,-0.20686363635736105,-0.31510049295673986,-0.09965461798357221,0.0002,20000
mean,ehign_pla,5,gnina-apo,alphafold3,269,-0.14230847520646828,-0.2264494376524327,-0.061022469603677805,0.0008,20000,0.4879089447416798,0.30770379758675426,0.6695131904421948,0.0,20000
mean,ehign_pla,5,gnina-af3,alphafold3,270,-0.1678970251499003,-0.25188441426299174,-0.0879579093537053,0.0001,20000,0.6972166458501249,0.5230946943590561,0.8731849687513737,0.0,20000
mean,ehign_pla,10,gnina-crystal,gnina-apo,281,0.21343704572758698,0.15255840316610236,0.2795204894414912,0.0,20000,-0.6435508837292826,-0.7733069903631538,-0.5199913263305099,0.0,20000
mean,ehign_pla,10,gnina-crystal,gnina-af3,282,0.22215069877881216,0.16016344259954,0.2887282443972948,0.0,20000,-0.8375284242582,-0.979573221657548,-0.6942069253989039,0.0,20000
mean,ehign_pla,10,gnina-crystal,alphafold3,269,0.06050096231016089,0.00778336542111153,0.11756694644565824,0.0247,20000,-0.08010325354647063,-0.21597972139162133,0.052219632166483176,0.2391,20000
mean,ehign_pla,10,gnina-apo,gnina-af3,283,0.0051802916408864585,-0.0516797579797108,0.06191449957383762,0.857,20000,-0.17092662537964354,-0.272850318381279,-0.07284473302558098,0.0005,20000
mean,ehign_pla,10,gnina-apo,alphafold3,269,-0.16080019548347513,-0.24611080715095215,-0.07849101223893419,0.0002,20000,0.5702140715194555,0.3925537931252379,0.7464214552963504,0.0,20000
mean,ehign_pla,10,gnina-af3,alphafold3,270,-0.16579931022774358,-0.24400309664228048,-0.09013395883314608,0.0,20000,0.7410075904060595,0.5724492492123149,0.9111238136459034,0.0,20000
mean,ehign_pla,20,gnina-crystal,gnina-apo,282,0.20109421094284563,0.13220733562275497,0.27683078910970305,0.0,20000,-0.586254164632537,-0.7351170375039137,-0.4458503870964909,0.0,20000
mean,ehign_pla,20,gnina-crystal,gnina-af3,282,0.21073524347754674,0.14839851822818478,0.27743948848743866,0.0,20000,-0.7255643476581218,-0.8582845369058922,-0.5921163398807329,0.0,20000
mean,ehign_pla,20,gnina-crystal,alphafold3,269,0.025182410623989238,-0.030337862692950517,0.08414002114851342,0.3809,20000,0.07674532063818518,-0.06301203407095342,0.21612636812478572,0.2822,20000
